Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,URL_Type_obf_Type
0,2,12,5.5,8,4.0833335,2,15,7,0,0,0,0,0,0,0,0,0,0,80,12,61,61,2,2,2,0.7625,0.025,0.16666667,0.15,5.0833335,0.032786883,0,-1,1,-1,0.75,-1,10,0,6,2,2,-1,54,11,0,0,39,-1,48,8,8,8,-1,0,0,5,0,7,-1,0.125,0,-1,-1,-1,-1,6,1,-1,-1,-1,-1,0.67680361,0.860528527,-1,-1,-1,-1,benign
0,3,12,5,10,3.5833333,3,12,8,2,0,2,2,0,0,0,0,0,0,78,17,54,54,40,4,2,0.6923077,0.025641026,0.11764706,0.21794872,3.1764705,0.037037037,0,-1,3,-1,0.64705884,-1,8,0,6,2,0,-1,54,15,0,31,4,-1,40,10,8,7,-1,0,0,4,0,8,-1,0.102564103,0,0.666666667,0.044444444,0,-1,7,2,2,1,0,-1,0.715629029,0.776795596,0.693126721,0.738315269,1,-1,benign
2,2,11,4,5,4.75,2,16,11,0,0,0,0,0,0,0,0,0,0,71,9,54,54,2,2,7,0.7605634,0.09859155,0.7777778,0.12676056,6,0.12962963,0,-1,1,-1,0.6666667,2,0,0,0,0,0,0,57,8,19,19,6,2,22,5,7,7,2,0,1,6,0,3,1,0,0,0,0,NaN,0,8,1,4,2,0,1,0.677700828,1,0.677703579,0.916666667,0,0.898226518,benign
0,2,7,4.5,7,5.714286,2,15,10,0,0,0,0,0,0,0,0,0,0,64,10,47,47,2,2,2,0.734375,0.03125,0.2,0.15625,4.7,0.04255319,0,-1,1,-1,0.8,-1,0,0,0,0,0,-1,53,9,5,5,30,-1,33,7,11,7,-1,0,0,4,0,3,-1,0,0,0,0,NaN,-1,5,1,2,0,0,-1,0.696067358,0.879588002,0.818007335,0.753584546,0,-1,benign
19,2,10,6,9,2.25,2,9,5,0,0,0,0,0,0,0,0,0,0,68,13,48,48,2,2,35,0.7058824,0.5147059,2.6923077,0.19117647,3.6923077,0.7291667,0,-1,2,-1,0.7692308,13,6,0,0,0,6,6,48,12,3,3,26,12,39,9,7,7,13,0,2,3,0,4,3,0.088235294,0,0,0.139534884,0.153846154,0.171428571,9,1,1,5,4,3,0.747201735,0.833699597,0.655458754,0.82953524,0.836150366,0.823008193,benign
0,2,10,5.5,9,4.1,2,15,11,0,0,0,0,0,0,0,0,0,0,69,12,50,50,44,4,2,0.7246377,0.028985508,0.16666667,0.17391305,4.1666665,0.04,0,-1,2,-1,0.8333333,-1,6,0,-1,6,0,-1,50,11,-1,31,4,-1,44,9,7,7,-1,0,0,2,0,8,-1,0.086956522,0,-1,-1,-1,-1,4,1,-1,-1,-1,-1,0.73298104,0.860528527,-1,-1,-1,-1,benign
0,2,12,4.5,6,5.3333335,2,24,9,0,0,0,0,0,0,0,0,0,0,93,10,76,76,2,2,2,0.8172043,0.021505376,0.2,0.10752688,7.6,0.02631579,0,-1,1,-1,0.7,-1,5,0,0,5,0,-1,72,9,6,0,53,-1,61,6,10,10,-1,0,0,4,0,8,-1,0.053763441,0,0.357142857,0,NaN,-1,5,1,2,0,0,-1,0.692383139,0.939794001,0.910795072,0.673973204,0,-1,benign
0,2,11,3.5,4,3.909091,2,15,6,0,0,0,0,0,0,0,0,0,0,68,8,53,53,2,2,2,0.7794118,0.029411765,0.25,0.11764706,6.625,0.03773585,0,-1,1,-1,0.625,-1,0,0,-1,0,0,-1,54,7,-1,6,37,-1,45,4,9,9,-1,0,0,3,0,8,-1,0,0,0,0,NaN,-1,4,1,1,0,0,-1,0.70736522,0.916666667,0.916666667,0.690331909,0,-1,benign
0,2,9,2.5,3,4.5555553,2,6,3,0,0,0,0,0,0,0,0,0,0,62,6,49,49,17,4,2,0.7903226,0.032258064,0.33333334,0.09677419,8.166667,0.040816326,0,-1,2,-1,0.6666667,-1,24,0,8,16,0,-1,26,5,13,0,4,-1,17,3,7,7,-1,0,0,7,0,2,-1,0.387096774,0,0.296296296,0.727272727,0,-1,9,1,5,1,0,-1,0.742606171,1,0.785719314,0.808833287,1,-1,benign
0,2,13,4.5,6,5.3076925,2,16,9,1,0,1,0,0,0,0,0,0,0,98,10,81,81,2,2,2,0.82653064,0.020408163,0.2,0.10204082,8.1,0.024691358,0,-1,1,-1,0.7,-1,35,0,19,16,0,-1,47,9,16,5,13,-1,27,6,13,5,-1,0,0,6,0,7,-1,0.357142857,0,-1,-1,-1,-1,7,1,-1,-1,-1,-1,0.734632558,0.939794001,-1,-1,-1,-1,benign
0,2,6,5.5,9,4.8333335,2,10,5,0,0,0,0,0,0,0,0,0,0,53,12,34,34,28,4,2,0.6415094,0.03773585,0.16666667,0.2264151,2.8333333,0.05882353,0,-1,2,-1,0.8333333,-1,4,0,-1,4,0,-1,40,11,-1,21,4,-1,28,9,9,6,-1,0,0,2,0,4,-1,0.075471698,0,0,0.121212121,0,-1,4,1,-1,1,0,-1,0.768631396,0.860528527,NaN,0.822726856,1,-1,benign
31,2,9,5.5,8,13.5,2,22,17,12,0,12,11,0,8,0,8,8,0,114,12,95,95,80,5,37,0.8333333,0.32456142,3.0833333,0.10526316,7.9166665,0.38947368,0,-1,5,-1,0.75,31,23,0,23,0,0,0,77,11,54,3,5,26,40,8,12,12,31,0,1,3,0,4,1,0.201754386,0,0,0.26744186,0,0,10,1,1,6,5,4,0.719590962,0.860528527,0.789690082,0.756548986,0.737413657,0.754686029,benign
0,2,9,5.5,9,4,2,13,9,0,0,0,0,0,0,0,0,0,0,63,12,44,44,38,4,2,0.6984127,0.031746034,0.16666667,0.1904762,3.6666667,0.045454547,0,-1,2,-1,0.8333333,-1,6,0,-1,6,0,-1,45,11,-1,26,4,-1,38,9,8,8,-1,0,0,2,0,7,-1,0.095238095,0,-1,-1,-1,-1,4,1,-1,-1,-1,-1,0.736740082,0.860528527,-1,-1,-1,-1,benign
0,2,19,4.5,6,3.9473684,2,30,14,0,0,0,0,0,0,0,0,0,0,111,10,94,94,2,2,2,0.8468468,0.018018018,0.2,0.09009009,9.4,0.021276595,0,-1,1,-1,0.7,-1,6,0,4,2,0,-1,82,9,6,0,63,-1,77,6,8,8,-1,0,0,5,0,14,-1,0.054054054,0,0.375,0,NaN,-1,6,1,3,0,0,-1,0.653860678,0.879588002,0.84375,0.620532063,0,-1,benign
17,2,11,6,9,2.25,2,9,8,0,0,0,0,0,0,0,0,0,0,72,13,52,52,2,2,39,0.7222222,0.5416667,3,0.18055555,4,0.75,0,-1,2,-1,0.7692308,11,6,0,0,0,6,6,50,12,3,3,28,10,43,9,7,7,11,0,3,3,0,4,5,0.083333333,0,0,0.127659574,0.139534884,0.153846154,11,1,1,7,6,5,0.730438363,0.833699597,0.655458754,0.789250158,0.798484232,0.794961812,benign
0,2,7,4.5,6,4.428571,2,9,4,2,0,2,0,0,0,0,0,0,0,54,10,37,37,7,3,2,0.6851852,0.037037037,0.2,0.18518518,3.7,0.054054055,0,-1,2,-1,0.7,-1,9,0,3,6,0,-1,35,9,18,1,3,-1,18,6,7,7,-1,0,0,4,0,3,-1,0.166666667,0,0.115384615,0.545454545,0,-1,6,1,2,1,0,-1,0.812190144,0.939794001,0.86691374,0.947442759,1,-1,benign
