                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0301,                 4.3181,                 1.8407,                      0,                      0,                      0,                      0,                 1.4659,                  4.161,                  1.501,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.8232,                 4.2535,                 1.6327,                0.00035,                0.00174,                0.00018,                  2e-05,                 1.3412,                 3.9313,                 1.2386,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 1.4955,                 3.9666,                 1.4229,                0.00157,                 0.0087,                0.00116,                0.00027,                 1.3474,                 3.7971,                 1.1376,             0.00015246,             0.00015246,             0.00015246
                      4,                 1.4909,                 3.5164,                 1.3596,                0.01685,                 0.2537,                0.01777,                0.00913,                 1.3949,                 3.7079,                 1.1597,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.4745,                  3.221,                  1.374,                0.01702,                0.48609,                0.08708,                0.04448,                 1.3629,                 3.5339,                 1.2076,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.5007,                 2.9204,                 1.3702,                0.01524,                0.65935,                0.12521,                0.06569,                 1.4036,                 3.2846,                 1.2513,             0.00030624,             0.00030624,             0.00030624
                      7,                 1.4725,                 2.5288,                  1.309,                0.93842,                0.06957,                0.13069,                0.06834,                 1.5497,                 2.8735,                 1.3729,              0.0003553,              0.0003553,              0.0003553
                      8,                 1.3859,                 2.4193,                 1.2729,                0.91993,                0.11984,                0.15176,                0.08461,                 1.4561,                 2.5995,                 1.2987,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.4851,                 2.2491,                 1.2848,                 0.9141,                0.13167,                0.16154,                0.09463,                 1.4501,                 2.5612,                 1.2128,             0.00045012,             0.00045012,             0.00045012
                     10,                  1.439,                 2.1785,                 1.2672,                0.91416,                0.13183,                0.16122,                0.09926,                 1.4258,                 2.5342,                  1.178,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.3725,                 2.1118,                  1.177,                0.90811,                0.15347,                0.15667,                0.09758,                 1.3802,                 2.3355,                  1.158,             0.00054055,             0.00054055,             0.00054055
                     12,                 1.3893,                  1.983,                 1.2056,                0.70824,                0.14783,                0.15771,                 0.0957,                 1.4344,                 2.0391,                 1.1505,             0.00058411,             0.00058411,             0.00058411
                     13,                 1.3732,                 1.9693,                 1.1963,                0.91036,                0.15652,                0.15922,                0.09529,                 1.4857,                 1.9112,                 1.1734,             0.00062657,             0.00062657,             0.00062657
                     14,                 1.3625,                 1.8981,                 1.1835,                0.91589,                0.15826,                0.16385,                0.10001,                 1.4322,                 1.8019,                 1.1769,             0.00066793,             0.00066793,             0.00066793
                     15,                 1.3641,                 1.9843,                 1.1894,                 0.9092,                0.15478,                0.16704,                0.10584,                 1.4143,                 1.8489,                 1.1998,             0.00070819,             0.00070819,             0.00070819
                     16,                  1.388,                 1.7939,                 1.1976,                0.90699,                0.15805,                0.16294,                0.10476,                 1.4176,                 1.8857,                 1.1937,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.4157,                  1.872,                 1.2541,                 0.9087,                0.16174,                0.16044,                0.10064,                 1.4068,                 1.7503,                 1.2118,             0.00078541,             0.00078541,             0.00078541
                     18,                 1.3295,                 1.7634,                 1.2032,                0.91824,                0.14957,                0.16182,                0.10051,                 1.3858,                 1.6172,                 1.2475,             0.00082238,             0.00082238,             0.00082238
                     19,                 1.3335,                 1.7732,                 1.1583,                 0.3062,                0.23783,                0.16647,                0.10049,                 1.3949,                 1.7311,                 1.3062,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.3131,                 1.6895,                 1.1907,                0.31527,                0.29793,                0.17072,                0.09968,                 1.4304,                 1.9511,                 1.4043,               0.000893,               0.000893,               0.000893
                     21,                 1.2184,                 1.8513,                 1.1789,                0.32113,                 0.2913,                0.15764,                 0.0925,                 1.4298,                 1.8316,                 1.3941,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.3094,                 1.9063,                 1.2147,                0.28946,                 0.2913,                0.13813,                0.07936,                 1.4283,                 1.7661,                 1.3832,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2627,                 1.6441,                 1.1647,                0.88541,                0.15304,                0.12304,                0.06517,                  1.505,                 1.8409,                 1.4217,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2575,                  1.652,                 1.1545,                0.47634,                0.26457,                0.14108,                0.07884,                 1.4757,                 1.7641,                 1.4157,             0.00086902,             0.00086902,             0.00086902
                     25,                  1.336,                 1.6996,                 1.1958,                 0.7067,                0.23957,                 0.1654,                0.09236,                 1.4115,                 1.7014,                  1.378,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.3641,                 1.9352,                 1.2473,                0.56626,                0.27105,                0.17728,                0.10484,                 1.3958,                 1.6176,                 1.3322,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.2766,                 1.6219,                  1.183,                0.56921,                0.23574,                0.18339,                 0.1149,                 1.3663,                 1.6293,                 1.3009,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.2569,                 1.6007,                 1.1833,                0.56066,                0.25587,                0.16862,                0.10649,                 1.3211,                 1.6366,                 1.2824,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.2011,                 1.5226,                 1.1578,                0.72721,                   0.21,                 0.1832,                0.11749,                 1.3581,                 1.6537,                 1.3211,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.2617,                 1.5866,                  1.156,                  0.706,                0.21174,                0.17726,                0.11005,                 1.3855,                 1.7534,                 1.3179,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.1895,                 1.5204,                 1.1526,                0.71402,                0.19022,                0.16635,                0.10214,                 1.3408,                 1.8758,                 1.2576,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.2563,                 1.5279,                 1.1532,                0.71463,                0.18326,                0.16697,                0.10334,                 1.3609,                 1.9047,                  1.208,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.2364,                 1.5512,                 1.1523,                0.70797,                0.19022,                0.16427,                0.10199,                 1.3747,                 1.7885,                 1.2232,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.2105,                 1.5515,                 1.1439,                0.50625,                0.19891,                0.16625,                0.10259,                 1.3947,                 1.7053,                 1.2544,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.2326,                 1.4447,                 1.1777,                0.70182,                0.23435,                0.18917,                0.11844,                 1.3725,                 1.5978,                 1.2912,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.2355,                 1.5543,                 1.1884,                0.57235,                0.31046,                0.20354,                0.12654,                  1.328,                 1.5683,                 1.2857,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.2279,                 1.4345,                 1.1696,                0.56107,                0.19651,                0.19044,                0.11394,                 1.3501,                 1.6483,                 1.2551,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1861,                 1.5033,                 1.1449,                0.49878,                0.17141,                0.18575,                0.10982,                  1.342,                 1.7907,                 1.2218,             0.00071504,             0.00071504,             0.00071504
                     39,                   1.17,                 1.5089,                 1.1086,                0.49839,                0.16174,                0.18894,                0.11298,                 1.3232,                 1.8913,                 1.1987,             0.00070404,             0.00070404,             0.00070404
                     40,                  1.107,                 1.3936,                 1.0517,                0.69954,                0.14435,                0.16357,                0.09263,                 1.3463,                 2.0622,                 1.2236,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1345,                 1.4854,                 1.1048,                0.70401,                0.15478,                 0.1614,                0.09117,                 1.3443,                 1.9482,                 1.2363,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1821,                 1.4619,                 1.1307,                0.70112,                0.16174,                0.15913,                0.09322,                 1.3501,                 1.8041,                 1.2513,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.1632,                 1.4069,                 1.1177,                0.69755,                0.16522,                0.15143,                 0.0909,                 1.3286,                 1.7098,                  1.244,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.1093,                 1.4026,                 1.0889,                0.70442,                0.19196,                0.14647,                0.08781,                 1.3267,                 1.6823,                  1.225,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.1128,                 1.3067,                 1.0879,                0.70592,                0.14957,                0.14428,                0.08545,                 1.3544,                 1.8805,                 1.2224,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.1251,                 1.3841,                 1.1047,                0.71099,                0.13043,                0.14444,                0.08594,                 1.3843,                 2.0932,                  1.227,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.1566,                 1.3947,                 1.1389,                0.71839,                   0.12,                0.15355,                0.08815,                 1.4004,                 2.2217,                 1.2303,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2007,                 1.4863,                 1.1555,                0.72834,                0.13082,                0.19123,                0.10107,                 1.3982,                 2.1498,                 1.2239,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.1105,                 1.3834,                 1.0727,                0.72716,                0.13565,                0.17131,                0.09469,                  1.395,                 2.1769,                 1.2185,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.1292,                 1.3972,                 1.0819,                 0.7213,                 0.1287,                0.16923,                0.09368,                 1.3843,                 2.2218,                 1.2154,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0828,                 1.3124,                 1.0782,                0.71398,                0.12348,                0.13978,                0.08484,                 1.3614,                 2.2075,                  1.221,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.1112,                 1.3114,                 1.1041,                0.50721,                0.13217,                0.14682,                0.08873,                 1.3756,                 2.0658,                 1.2496,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0798,                 1.2637,                 1.0717,                0.30197,                0.14473,                0.16336,                0.10015,                 1.3884,                 1.8809,                 1.2712,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0433,                 1.4237,                 1.0595,                0.29397,                   0.16,                0.17461,                 0.1077,                 1.3831,                 1.6844,                  1.275,             0.00053906,             0.00053906,             0.00053906
                     55,                  1.043,                 1.2216,                 1.0659,                 0.3342,                0.19196,                0.16264,                0.10244,                 1.3617,                 1.6195,                 1.2688,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.1118,                  1.287,                 1.1202,                0.31519,                 0.1937,                0.16857,                0.11055,                 1.3013,                 1.5562,                 1.2287,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0593,                 1.2914,                 1.0969,                  0.317,                0.19543,                0.17214,                0.11489,                 1.3098,                 1.5518,                 1.2229,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0561,                 1.2059,                 1.0488,                0.33981,                0.19717,                0.17432,                0.11353,                 1.3173,                 1.5517,                 1.2153,             0.00049506,             0.00049506,             0.00049506
                     59,                   1.02,                 1.2845,                 1.0728,                0.35297,                0.19891,                0.18827,                0.12388,                 1.3325,                 1.5636,                 1.2203,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.1254,                 1.2356,                 1.1112,                 0.5701,                0.19717,                0.18382,                0.11887,                 1.3773,                 1.5765,                   1.26,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0469,                 1.2284,                 1.0695,                0.56795,                0.19543,                0.18354,                0.11988,                 1.3354,                 1.5981,                 1.2537,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.0909,                 1.1742,                 1.1021,                 0.5687,                  0.185,                0.18529,                0.12458,                 1.2956,                 1.6678,                 1.2458,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0526,                 1.1736,                 1.0738,                0.57052,                 0.1763,                0.18704,                0.12781,                 1.3065,                 1.7654,                 1.2664,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.1221,                  1.244,                 1.1188,                0.58557,                0.20359,                0.19692,                0.12953,                 1.3747,                 1.9314,                 1.3038,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.0995,                 1.2047,                 1.0753,                0.63259,                0.17877,                0.20534,                0.13662,                 1.3705,                 1.9808,                 1.3021,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1085,                   1.29,                 1.0812,                0.63422,                0.14988,                0.19465,                0.12743,                 1.3625,                  2.029,                 1.2943,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.0229,                  1.133,                 1.0509,                 0.6354,                0.14326,                0.19608,                0.12725,                 1.3858,                 2.1237,                 1.3016,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.0811,                 1.2353,                 1.1031,                0.72566,                0.09217,                0.19389,                 0.1216,                 1.3744,                 2.3924,                 1.2932,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0587,                 1.2669,                 1.0985,                0.72378,                0.08755,                0.18956,                0.12038,                 1.3662,                 2.4257,                  1.286,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0901,                 1.2658,                 1.0968,                 0.7146,                 0.0887,                  0.171,                0.10883,                 1.3597,                 2.3618,                  1.278,             0.00036307,             0.00036307,             0.00036307
                     71,                0.97163,                 1.1279,                 1.0132,                0.56817,                0.15536,                0.17267,                0.10994,                 1.3575,                 2.1375,                 1.2699,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0321,                 1.0997,                  1.041,                0.34093,                0.23152,                0.19017,                0.12183,                 1.3458,                 1.6625,                 1.2669,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.0078,                 1.1913,                 1.0618,                0.36527,                 0.3437,                0.22304,                0.14851,                 1.3203,                 1.5315,                 1.2562,             0.00033008,             0.00033008,             0.00033008
                     74,                0.99271,                  1.139,                 1.0553,                0.36963,                0.32217,                0.24239,                0.16534,                 1.3128,                 1.4954,                 1.2533,             0.00031908,             0.00031908,             0.00031908
                     75,                   1.02,                 1.1795,                 1.0449,                0.40503,                0.32217,                0.24275,                0.16589,                 1.3023,                 1.4544,                 1.2465,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.0364,                 1.1168,                 1.0743,                0.41363,                0.29717,                0.23659,                 0.1575,                  1.284,                 1.4327,                 1.2469,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.0235,                 1.1634,                  1.065,                 0.3712,                0.32204,                0.23753,                0.15429,                 1.2789,                 1.4415,                 1.2484,             0.00028608,             0.00028608,             0.00028608
                     78,                0.97034,                 1.1138,                 1.0669,                 0.3564,                0.34717,                 0.2428,                0.15755,                 1.3049,                 1.4605,                 1.2653,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.0413,                 1.1386,                 1.0986,                0.86884,                0.18391,                0.24265,                 0.1531,                 1.3525,                 1.4968,                 1.2879,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.0107,                   1.13,                 1.0714,                0.86403,                0.18968,                0.24699,                0.14981,                 1.4126,                 1.5661,                 1.3255,             0.00025309,             0.00025309,             0.00025309
                     81,                0.95485,                 1.0382,                 1.0413,                0.80903,                0.18176,                0.24067,                0.15313,                 1.3783,                 1.5644,                 1.3005,             0.00024209,             0.00024209,             0.00024209
                     82,                0.92063,                0.99085,                 1.0225,                0.78089,                0.21041,                0.23656,                0.15449,                 1.3374,                 1.5591,                 1.2744,             0.00023109,             0.00023109,             0.00023109
                     83,                0.99777,                  1.114,                 1.0566,                0.59358,                0.23739,                0.23103,                0.15223,                 1.3018,                 1.5628,                  1.252,             0.00022009,             0.00022009,             0.00022009
