                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.875,                 3.9805,                 1.9403,                0.00869,                0.25661,                0.00633,                 0.0023,                 1.7213,                 3.9152,                 1.9241,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 1.8178,                 3.9635,                 1.8871,                0.00855,                0.25661,                0.00712,                 0.0031,                 1.6437,                 3.9005,                 1.8532,                3.3e-05,                3.3e-05,                3.3e-05
                      3,                  1.709,                 3.9368,                 1.7986,                0.01135,                0.31207,                0.01676,                0.00745,                 1.5409,                 3.8574,                  1.734,              5.445e-05,              5.445e-05,              5.445e-05
                      4,                 1.5696,                 3.7996,                 1.6668,                0.01733,                 0.4681,                0.04822,                  0.022,                 1.4674,                 3.8034,                 1.6369,              7.546e-05,              7.546e-05,              7.546e-05
                      5,                 1.5056,                 3.6023,                 1.5813,                0.02254,                 0.5773,                0.07919,                 0.0379,                 1.4597,                 3.6972,                 1.5485,              9.603e-05,              9.603e-05,              9.603e-05
                      6,                 1.4449,                 3.4584,                 1.4701,                0.02879,                0.68822,                 0.1208,                0.05797,                 1.4387,                 3.5636,                 1.4264,             0.00011616,             0.00011616,             0.00011616
                      7,                  1.501,                 3.2371,                 1.4535,                0.03393,                0.78879,                0.13804,                0.06706,                 1.4492,                 3.4605,                 1.3899,             0.00013585,             0.00013585,             0.00013585
                      8,                 1.4656,                 2.9535,                 1.3971,                0.03624,                0.79914,                 0.1574,                0.07952,                 1.4397,                 3.3201,                 1.3481,              0.0001551,              0.0001551,              0.0001551
                      9,                 1.4894,                 2.6119,                 1.3932,                0.04045,                0.68276,                0.17919,                0.09228,                 1.4682,                 3.1404,                 1.3458,             0.00017391,             0.00017391,             0.00017391
                     10,                 1.5008,                 2.2772,                 1.3972,                0.94481,                0.11379,                0.19764,                0.10756,                 1.5151,                  2.969,                 1.3784,             0.00019228,             0.00019228,             0.00019228
                     11,                 1.4319,                 2.0497,                 1.3652,                0.94337,                0.11897,                0.19804,                0.11379,                 1.5539,                 2.8053,                 1.3835,             0.00021021,             0.00021021,             0.00021021
                     12,                 1.4879,                 1.9542,                 1.4069,                0.93314,                 0.1228,                0.17245,                0.09932,                 1.6174,                 2.7956,                 1.4349,              0.0002277,              0.0002277,              0.0002277
                     13,                 1.4476,                 1.8411,                 1.4019,                0.92966,                0.12771,                0.17294,                0.09321,                 1.7184,                  2.817,                 1.5263,             0.00024475,             0.00024475,             0.00024475
                     14,                 1.4305,                 1.6702,                 1.3775,                0.92864,                0.14828,                0.20533,                0.11669,                 1.6834,                  2.573,                  1.455,             0.00026136,             0.00026136,             0.00026136
                     15,                 1.4392,                 1.6033,                 1.3831,                0.92527,                0.16897,                0.24461,                0.14665,                 1.6221,                 2.3289,                 1.4109,             0.00027753,             0.00027753,             0.00027753
                     16,                 1.3825,                 1.5458,                 1.3477,                 0.9161,                0.17749,                0.24766,                0.15195,                 1.6238,                 2.1181,                 1.4338,             0.00029327,             0.00029327,             0.00029327
                     17,                 1.3838,                 1.4881,                 1.3656,                0.71185,                0.22098,                0.24544,                0.14104,                 1.6248,                 1.9883,                 1.4681,             0.00030856,             0.00030856,             0.00030856
                     18,                 1.3515,                 1.4303,                 1.3684,                0.64532,                0.21236,                0.23248,                 0.1252,                 1.7453,                 2.0982,                  1.596,             0.00032341,             0.00032341,             0.00032341
                     19,                 1.3062,                 1.3912,                 1.3636,                0.91691,                0.13793,                0.21508,                0.11558,                 1.7233,                 2.2016,                 1.6115,             0.00033782,             0.00033782,             0.00033782
                     20,                  1.297,                  1.368,                 1.3531,                0.91336,                0.11897,                0.16918,                0.09273,                 1.7471,                 2.4067,                 1.6889,             0.00035179,             0.00035179,             0.00035179
                     21,                 1.3093,                 1.4272,                 1.3681,                0.91887,                0.12069,                 0.1688,                0.08983,                 1.7434,                 2.4918,                 1.7142,             0.00036532,             0.00036532,             0.00036532
                     22,                 1.3312,                 1.3537,                 1.3642,                0.90369,                0.11897,                0.15493,                0.07975,                 1.7542,                 2.6576,                 1.7486,             0.00037841,             0.00037841,             0.00037841
                     23,                 1.3161,                 1.3287,                 1.3458,                0.63394,                0.15172,                0.18853,                0.09946,                 1.7388,                 2.2928,                 1.6038,             0.00039106,             0.00039106,             0.00039106
                     24,                  1.238,                 1.2621,                 1.2986,                0.64636,                0.16314,                0.20779,                0.11616,                 1.6314,                 2.0036,                 1.4798,             0.00040327,             0.00040327,             0.00040327
                     25,                 1.2791,                 1.2982,                 1.3377,                0.64901,                0.16897,                0.24506,                0.13648,                 1.6542,                 2.1098,                 1.5431,             0.00041504,             0.00041504,             0.00041504
                     26,                 1.2868,                 1.2931,                 1.3512,                0.64843,                0.16552,                 0.2254,                0.12026,                 1.6586,                 2.1108,                 1.5583,             0.00042637,             0.00042637,             0.00042637
                     27,                 1.2591,                 1.2246,                 1.3251,                0.64289,                0.17069,                0.22543,                0.12096,                 1.6787,                 2.0669,                 1.5513,             0.00043727,             0.00043727,             0.00043727
                     28,                 1.2461,                 1.2912,                  1.326,                0.63723,                0.17833,                0.22474,                0.12288,                 1.6325,                 1.9318,                 1.4917,             0.00044772,             0.00044772,             0.00044772
                     29,                 1.2464,                 1.1972,                 1.3085,                0.64674,                 0.1813,                0.21312,                0.12218,                 1.5451,                 1.7852,                 1.4096,             0.00045773,             0.00045773,             0.00045773
                     30,                 1.2314,                 1.2083,                  1.308,                0.93535,                0.16034,                0.21153,                0.12345,                 1.5276,                 1.6664,                 1.3771,              0.0004673,              0.0004673,              0.0004673
