                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8764,                 3.9827,                 1.9334,                0.00949,                0.26351,                 0.0078,                0.00324,                 1.6542,                 3.8846,                 1.8458,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 1.6879,                 3.8985,                 1.7599,                0.01598,                0.42126,                0.04053,                0.01942,                 1.4956,                 3.8134,                 1.6586,                7.7e-05,                7.7e-05,                7.7e-05
                      3,                  1.525,                 3.5819,                 1.5818,                0.02518,                0.62759,                0.08578,                 0.0409,                 1.4283,                 3.6311,                 1.4675,             0.00011979,             0.00011979,             0.00011979
                      4,                 1.4937,                 3.1455,                 1.4547,                0.03583,                0.74368,                0.13556,                0.07118,                   1.41,                 3.4398,                 1.3774,              0.0001617,              0.0001617,              0.0001617
                      5,                 1.5209,                 2.6377,                 1.4546,                0.03844,                0.87557,                0.14161,                0.07373,                  1.418,                 3.3237,                 1.3727,             0.00020273,             0.00020273,             0.00020273
                      6,                 1.4752,                 2.4101,                 1.4292,                0.04215,                0.68621,                0.16803,                0.08836,                 1.4837,                 3.0887,                 1.3922,             0.00024288,             0.00024288,             0.00024288
                      7,                  1.504,                  2.155,                 1.4321,                0.95833,                0.10344,                0.18874,                 0.1007,                  1.586,                 2.7838,                  1.394,             0.00028215,             0.00028215,             0.00028215
                      8,                   1.46,                 1.8498,                 1.4018,                0.92437,                0.12721,                0.19345,                0.10707,                 1.5932,                 2.5693,                  1.378,             0.00032054,             0.00032054,             0.00032054
                      9,                 1.4614,                 1.7588,                 1.3994,                0.91063,                 0.1569,                0.19821,                0.11131,                 1.6239,                 2.4032,                 1.4116,             0.00035805,             0.00035805,             0.00035805
                     10,                 1.5027,                 1.7237,                 1.4107,                0.91267,                0.16379,                0.20277,                0.11652,                 1.6465,                 2.0663,                  1.442,             0.00039468,             0.00039468,             0.00039468
                     11,                 1.3849,                 1.6518,                 1.3511,                0.63858,                0.30776,                0.19973,                0.11253,                 1.6274,                 2.0796,                 1.4285,             0.00043043,             0.00043043,             0.00043043
                     12,                 1.4287,                 1.7188,                 1.4121,                0.62749,                0.23678,                0.20466,                0.10533,                 1.8132,                 2.6775,                 1.6823,             0.00046531,             0.00046531,             0.00046531
                     13,                 1.4373,                 1.7027,                 1.4162,                0.63392,                0.24228,                0.21406,                 0.1104,                 1.8549,                  2.725,                 1.8165,              0.0004993,              0.0004993,              0.0004993
                     14,                 1.3698,                 1.5228,                 1.3632,                0.62189,                0.39626,                 0.2752,                0.15898,                  1.667,                   2.48,                 1.5271,             0.00053241,             0.00053241,             0.00053241
                     15,                 1.3541,                 1.4206,                 1.3514,                0.62186,                0.36839,                0.26643,                0.15098,                 1.6163,                 2.2166,                 1.4328,             0.00056464,             0.00056464,             0.00056464
                     16,                 1.3566,                 1.4271,                 1.3624,                0.92303,                0.17414,                0.23148,                0.12689,                 1.6425,                 1.9835,                 1.4283,             0.00059599,             0.00059599,             0.00059599
                     17,                 1.3764,                 1.3674,                 1.3757,                0.93103,                0.17199,                0.23228,                0.12671,                 1.6559,                 1.8541,                 1.4325,             0.00062646,             0.00062646,             0.00062646
                     18,                 1.3862,                 1.4101,                  1.393,                0.61559,                0.36839,                0.24487,                0.12984,                 1.7373,                 1.9709,                 1.5245,             0.00065605,             0.00065605,             0.00065605
                     19,                 1.3113,                 1.3564,                 1.3389,                0.41966,                0.41351,                0.23176,                0.12484,                 1.7052,                 1.9013,                  1.505,             0.00068476,             0.00068476,             0.00068476
                     20,                 1.3147,                 1.3154,                 1.3327,                0.42423,                0.33534,                0.23675,                0.12821,                 1.6567,                   1.82,                 1.4662,              0.0007126,              0.0007126,              0.0007126
                     21,                 1.3063,                   1.39,                 1.3375,                0.39061,                  0.325,                0.24508,                0.14266,                 1.6136,                  1.731,                  1.451,             0.00073955,             0.00073955,             0.00073955
                     22,                 1.3256,                 1.3434,                 1.3293,                0.63481,                0.27816,                0.25728,                0.15035,                 1.6754,                 1.6808,                 1.4925,             0.00076562,             0.00076562,             0.00076562
                     23,                 1.3429,                 1.4322,                 1.3394,                0.54282,                 0.3319,                0.25834,                0.13839,                 1.6506,                 1.5997,                 1.4562,             0.00079081,             0.00079081,             0.00079081
                     24,                 1.2327,                 1.2617,                 1.2649,                 0.5804,                0.37874,                0.28588,                0.15612,                 1.5448,                 1.5089,                 1.3898,             0.00081512,             0.00081512,             0.00081512
                     25,                 1.2679,                 1.3016,                 1.3115,                0.43985,                0.42725,                0.29291,                0.16393,                 1.5123,                 1.4518,                 1.3902,             0.00083856,             0.00083856,             0.00083856
                     26,                 1.2814,                 1.2869,                 1.3509,                 0.4491,                0.46207,                0.26667,                0.15026,                 1.5025,                    1.5,                 1.3938,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.2383,                 1.2232,                 1.3048,                0.43754,                0.36494,                0.21979,                0.11714,                 1.5874,                 1.5647,                 1.4645,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.2394,                 1.2537,                  1.306,                0.38331,                0.32661,                0.22612,                0.12117,                  1.546,                 1.5645,                 1.4283,             0.00082503,             0.00082503,             0.00082503
